,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,Stop,Chromosome
OIIb.11.v1.g002910,16.09283917,2.976782376,1.044799905,2.849141125,0.004383743,0.030080102,279869,281176,scaffold_11
OIIb.11.v1.g002920,4.310820044,6.26078128,3.323884798,1.883573487,0.059622691,0.195413462,281403,281770,scaffold_11
OIIb.11.v1.g002930,2.609445412,5.271880108,1.534375228,3.435848032,0.000590702,0.006666812,281809,282204,scaffold_11
OIIb.11.v1.g002940,0.037065644,0,8.775233444,0,1,NA,282259,282537,scaffold_11
OIIb.11.v1.g002950,0,NA,NA,NA,NA,NA,288914,291484,scaffold_11
OIIb.11.v1.g002960,0.027062304,0,8.775233444,0,1,NA,302721,303824,scaffold_11
OIIb.11.v1.g002970,0.037065644,0,8.775233444,0,1,NA,305114,305392,scaffold_11
OIIb.11.v1.g002980,41.81899761,3.502510529,0.65098028,5.380363483,7.43E-08,4.77E-06,305447,307814,scaffold_11
OIIb.11.v1.g002990,37.77682951,3.112083223,0.795404269,3.912580489,9.13E-05,0.00159055,306105,306464,scaffold_11
OIIb.11.v1.g003000,0.596854016,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,308578,309316,scaffold_11
OIIb.11.v1.g003010,0.789626614,-1.226124223,2.983189362,-0.411011194,0.681064326,NA,312413,313711,scaffold_11
OIIb.11.v1.g003020,0.178085295,0,8.775233444,0,1,NA,315078,315545,scaffold_11
OIIb.11.v1.g003030,0.085569714,0,8.775233444,0,1,NA,315868,318085,scaffold_11
OIIb.11.v1.g003040,0.131289972,-1.717839828,8.759809212,-0.196104708,0.844528211,NA,319301,322246,scaffold_11
OIIb.11.v1.g003050,0.082320435,0,8.775233444,0,1,NA,326539,326820,scaffold_11
OIIb.11.v1.g003060,0.082282021,0,8.775233444,0,1,NA,326839,327240,scaffold_11
OIIb.11.v1.g003070,0.010003339,0,8.775233444,0,1,NA,328771,329157,scaffold_11
OIIb.11.v1.g003080,0.019502215,-1.285360237,8.773258926,-0.146508868,0.88351969,NA,329443,329910,scaffold_11
OIIb.11.v1.g003090,0.012241073,0.884021438,8.775233444,0.100740504,0.919756458,NA,331052,331411,scaffold_11
OIIb.11.v1.g003100,0,NA,NA,NA,NA,NA,331543,331911,scaffold_11
OIIb.11.v1.g003110,0.249382935,0.884021438,8.775233444,0.100740504,0.919756458,NA,332087,332491,scaffold_11
OIIb.11.v1.g003120,0.147871931,0,8.775233444,0,1,NA,332961,333658,scaffold_11
OIIb.11.v1.g003130,0,NA,NA,NA,NA,NA,337500,337721,scaffold_11
OIIb.11.v1.g003140,0,NA,NA,NA,NA,NA,338283,339809,scaffold_11
OIIb.11.v1.g003150,0.056920146,0,8.775233444,0,1,NA,341449,342129,scaffold_11
OIIb.11.v1.g003170,0.21782141,0,8.775233444,0,1,NA,345183,346492,scaffold_11
OIIb.11.v1.g003180,0.219240732,-1.285359274,8.773258944,-0.146508758,0.883519776,NA,346555,348078,scaffold_11
OIIb.11.v1.g003190,0.293410379,0,8.775233444,0,1,NA,357410,358471,scaffold_11
OIIb.11.v1.g003200,0.638133517,3.11036748,5.436007035,0.572178708,0.567200911,NA,359261,359896,scaffold_11
OIIb.11.v1.g003210,0.252408377,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,360373,360774,scaffold_11
OIIb.11.v1.g003220,0.011765692,0,8.775233444,0,1,NA,360793,361074,scaffold_11
OIIb.11.v1.g003230,0,NA,NA,NA,NA,NA,365366,368311,scaffold_11
OIIb.11.v1.g003240,1.037621391,0,4.917656395,0,1,NA,368840,371744,scaffold_11
OIIb.11.v1.g003250,0.176806855,0,8.775233444,0,1,NA,372067,372534,scaffold_11
OIIb.11.v1.g003260,0.686144722,0,5.132998931,0,1,NA,373901,375199,scaffold_11
OIIb.11.v1.g003270,6.032406952,2.471427347,1.063106238,2.324722835,0.020086785,0.091042254,375242,376139,scaffold_11
OIIb.11.v1.g003280,0.413447174,2.746918948,4.746318837,0.578747244,0.562759733,NA,376138,376453,scaffold_11
OIIb.11.v1.g003290,0.56125705,0,8.775233444,0,1,NA,378296,379034,scaffold_11
OIIb.11.v1.g003300,8.978028292,3.541045708,1.017152827,3.481331038,0.000498928,0.005846887,379830,381137,scaffold_11
OIIb.11.v1.g003310,0.40394622,-0.558631828,5.26241836,-0.106154963,0.915459403,NA,381364,381731,scaffold_11
OIIb.11.v1.g003320,0.60322606,2.252551615,2.203417758,1.022298929,0.30663944,NA,381770,382165,scaffold_11
OIIb.11.v1.g003330,0.027062304,0,8.775233444,0,1,NA,382220,382498,scaffold_11
OIIb.11.v1.g003340,0,NA,NA,NA,NA,NA,388877,391447,scaffold_11
OIIb.11.v1.g003350,0,NA,NA,NA,NA,NA,405076,405354,scaffold_11
OIIb.11.v1.g003360,0.959236711,3.44492875,2.569582663,1.340656909,0.180031871,NA,405409,407772,scaffold_11
OIIb.11.v1.g003370,0.170992724,0,8.775233444,0,1,NA,406067,406592,scaffold_11
OIIb.11.v1.g003380,1.343542413,5.009602363,2.840076782,1.763896805,0.077749355,0.233391901,407302,407676,scaffold_11
OIIb.11.v1.g003390,0,NA,NA,NA,NA,NA,408536,409274,scaffold_11
OIIb.11.v1.g003400,0,NA,NA,NA,NA,NA,409653,409868,scaffold_11
OIIb.11.v1.g003410,0,NA,NA,NA,NA,NA,411149,411432,scaffold_11
OIIb.11.v1.g003420,0,NA,NA,NA,NA,NA,412371,413669,scaffold_11
OIIb.11.v1.g003430,0.047875957,0,8.775233444,0,1,NA,415036,415503,scaffold_11
OIIb.11.v1.g003440,0,NA,NA,NA,NA,NA,415826,418043,scaffold_11
OIIb.11.v1.g003450,0,NA,NA,NA,NA,NA,419259,422204,scaffold_11
OIIb.11.v1.g003460,0,NA,NA,NA,NA,NA,426497,426778,scaffold_11
OIIb.11.v1.g003470,0.011050041,0,8.775233444,0,1,NA,426797,427198,scaffold_11
OIIb.11.v1.g003480,0.150738099,1.639410501,8.771742866,0.18689678,0.851741564,NA,427675,428310,scaffold_11
OIIb.11.v1.g003490,0,NA,NA,NA,NA,NA,428728,429114,scaffold_11
OIIb.11.v1.g003500,0,NA,NA,NA,NA,NA,429400,429867,scaffold_11
OIIb.11.v1.g003510,0,NA,NA,NA,NA,NA,431009,431368,scaffold_11
OIIb.11.v1.g003520,0,NA,NA,NA,NA,NA,431500,431868,scaffold_11
OIIb.11.v1.g003530,0.10292954,0,8.775233444,0,1,NA,432923,433339,scaffold_11
OIIb.11.v1.g003540,0,NA,NA,NA,NA,NA,433988,435286,scaffold_11
OIIb.11.v1.g003550,0,NA,NA,NA,NA,NA,435609,436076,scaffold_11
OIIb.11.v1.g003560,0,NA,NA,NA,NA,NA,437443,438741,scaffold_11
OIIb.11.v1.g003570,0,NA,NA,NA,NA,NA,441838,442576,scaffold_11
OIIb.11.v1.g003580,0,NA,NA,NA,NA,NA,443372,444679,scaffold_11
OIIb.11.v1.g003590,0.162978724,0,7.187775306,0,1,NA,444906,445273,scaffold_11
OIIb.11.v1.g003600,0.077115646,0,8.775233444,0,1,NA,445312,445707,scaffold_11
OIIb.11.v1.g003610,0,NA,NA,NA,NA,NA,445762,446040,scaffold_11
OIIb.11.v1.g003620,0,NA,NA,NA,NA,NA,452418,454988,scaffold_11
OIIb.11.v1.g003660,0,NA,NA,NA,NA,NA,466225,467328,scaffold_11
OIIb.11.v1.g003670,0,NA,NA,NA,NA,NA,468618,468896,scaffold_11
OIIb.11.v1.g003680,1.730768562,3.354389657,1.672469362,2.005650885,0.044893509,0.160767667,468951,471318,scaffold_11
OIIb.11.v1.g003690,0.198339368,0,8.289745903,0,1,NA,469609,469968,scaffold_11
OIIb.11.v1.g003700,1.157454947,4.082642127,2.186155049,1.86749889,0.061831952,0.200135521,470904,471222,scaffold_11
OIIb.11.v1.g003710,0,NA,NA,NA,NA,NA,472082,472820,scaffold_11
OIIb.11.v1.g003720,0,NA,NA,NA,NA,NA,475917,477215,scaffold_11
OIIb.11.v1.g003730,0.047875957,0,8.775233444,0,1,NA,478582,479049,scaffold_11
OIIb.11.v1.g003740,0,NA,NA,NA,NA,NA,479372,480670,scaffold_11
OIIb.11.v1.g003750,0,NA,NA,NA,NA,NA,482765,485710,scaffold_11
OIIb.11.v1.g003760,0,NA,NA,NA,NA,NA,490003,490284,scaffold_11
OIIb.11.v1.g003770,0.011050041,0,8.775233444,0,1,NA,490303,490704,scaffold_11
OIIb.11.v1.g003780,0.150738099,1.639410501,8.771742866,0.18689678,0.851741564,NA,491181,491816,scaffold_11
OIIb.11.v1.g003790,0,NA,NA,NA,NA,NA,492606,493667,scaffold_11
OIIb.11.v1.g003800,0,NA,NA,NA,NA,NA,494249,495496,scaffold_11
OIIb.11.v1.g003810,0.019857033,0,8.775233444,0,1,NA,502993,504516,scaffold_11
OIIb.11.v1.g003820,0,NA,NA,NA,NA,NA,507046,507447,scaffold_11
OIIb.11.v1.g003830,0,NA,NA,NA,NA,NA,509069,509980,scaffold_11
OIIb.11.v1.g003840,0,NA,NA,NA,NA,NA,511196,514141,scaffold_11
OIIb.11.v1.g003850,0,NA,NA,NA,NA,NA,518434,518715,scaffold_11
OIIb.11.v1.g003860,0.011050041,0,8.775233444,0,1,NA,518734,519135,scaffold_11
OIIb.11.v1.g003870,0.150738099,1.639410501,8.771742866,0.18689678,0.851741564,NA,519612,520247,scaffold_11
OIIb.11.v1.g003880,0,NA,NA,NA,NA,NA,521037,522098,scaffold_11
OIIb.11.v1.g003890,0,NA,NA,NA,NA,NA,522680,523927,scaffold_11
OIIb.11.v1.g003900,0.019857033,0,8.775233444,0,1,NA,531425,532948,scaffold_11
OIIb.11.v1.g003910,0,NA,NA,NA,NA,NA,533011,534708,scaffold_11
OIIb.11.v1.g003940,0,NA,NA,NA,NA,NA,537372,537824,scaffold_11
OIIb.11.v1.g003950,0,NA,NA,NA,NA,NA,541720,542799,scaffold_11
OIIb.11.v1.g003960,0,NA,NA,NA,NA,NA,544146,544583,scaffold_11
OIIb.11.v1.g003970,0,NA,NA,NA,NA,NA,544610,547822,scaffold_11
OIIb.11.v1.g003980,0,NA,NA,NA,NA,NA,569887,570363,scaffold_11
OIIb.11.v1.g003990,0,NA,NA,NA,NA,NA,570494,571174,scaffold_11
OIIb.11.v1.g004000,0,NA,NA,NA,NA,NA,571223,571585,scaffold_11
OIIb.11.v1.g004010,0,NA,NA,NA,NA,NA,573145,575039,scaffold_11
OIIb.11.v1.g004020,0.012625503,0.884021438,8.775233444,0.100740504,0.919756458,NA,575791,577239,scaffold_11
OIIb.11.v1.g004030,0,NA,NA,NA,NA,NA,577889,579382,scaffold_11
OIIb.11.v1.g004040,0,NA,NA,NA,NA,NA,580735,581289,scaffold_11
OIIb.11.v1.g004050,0,NA,NA,NA,NA,NA,582214,582690,scaffold_11
OIIb.11.v1.g004060,0.063593942,3.108734544,8.736893497,0.355816921,0.721977676,NA,582909,583871,scaffold_11
OIIb.11.v1.g004070,0.020785256,0,8.775233444,0,1,NA,585291,585779,scaffold_11
OIIb.11.v1.g004080,0,NA,NA,NA,NA,NA,589840,590520,scaffold_11
OIIb.11.v1.g004090,0,NA,NA,NA,NA,NA,591170,592663,scaffold_11
OIIb.11.v1.g004100,0,NA,NA,NA,NA,NA,594016,594570,scaffold_11
OIIb.11.v1.g004110,0,NA,NA,NA,NA,NA,595495,595971,scaffold_11
OIIb.11.v1.g004120,0.063593942,3.108734544,8.736893497,0.355816921,0.721977676,NA,596190,597152,scaffold_11
OIIb.11.v1.g004130,0.020785256,0,8.775233444,0,1,NA,598572,599060,scaffold_11
OIIb.11.v1.g004150,0,NA,NA,NA,NA,NA,604272,605418,scaffold_11
OIIb.11.v1.g004160,0.073612267,0,8.775233444,0,1,NA,606883,608410,scaffold_11
OIIb.11.v1.g004170,0,NA,NA,NA,NA,NA,608972,609193,scaffold_11
OIIb.11.v1.g004180,0,NA,NA,NA,NA,NA,609977,610675,scaffold_11
OIIb.11.v1.g004190,0.079892832,0,8.775233444,0,1,NA,611568,612064,scaffold_11
OIIb.11.v1.g004200,0,NA,NA,NA,NA,NA,614767,615615,scaffold_11
OIIb.11.v1.g004210,0.0290422,1.98150516,8.761870608,0.226150927,0.821084036,NA,618579,618905,scaffold_11
OIIb.11.v1.g004220,0,NA,NA,NA,NA,NA,624371,627316,scaffold_11
OIIb.11.v1.g004230,0,NA,NA,NA,NA,NA,627845,630749,scaffold_11
OIIb.11.v1.g004240,0,NA,NA,NA,NA,NA,631072,631539,scaffold_11
OIIb.11.v1.g004250,0,NA,NA,NA,NA,NA,632906,634204,scaffold_11
OIIb.11.v1.g004260,0,NA,NA,NA,NA,NA,637301,638039,scaffold_11
OIIb.11.v1.g004270,4.003307811,3.214177432,1.005092306,3.197892783,0.001384357,0.01256838,638835,640142,scaffold_11
OIIb.11.v1.g004280,0.307852344,3.406364127,4.608051212,0.739220111,0.459773351,NA,640369,640736,scaffold_11
OIIb.11.v1.g004290,0.178481549,0,8.409566181,0,1,NA,640775,641170,scaffold_11
OIIb.11.v1.g004300,0,NA,NA,NA,NA,NA,641225,641503,scaffold_11
OIIb.11.v1.g004310,0,NA,NA,NA,NA,NA,647881,650452,scaffold_11
OIIb.11.v1.g004330,0,NA,NA,NA,NA,NA,663467,663748,scaffold_11
OIIb.11.v1.g004340,0,NA,NA,NA,NA,NA,663767,664168,scaffold_11
OIIb.11.v1.g004350,0,NA,NA,NA,NA,NA,664645,665280,scaffold_11
OIIb.11.v1.g004360,0,NA,NA,NA,NA,NA,666070,667131,scaffold_11
OIIb.11.v1.g004370,0,NA,NA,NA,NA,NA,667713,668960,scaffold_11
OIIb.11.v1.g004380,0.019857033,0,8.775233444,0,1,NA,676458,677981,scaffold_11
OIIb.11.v1.g004390,0,NA,NA,NA,NA,NA,678044,679741,scaffold_11
OIIb.11.v1.g004410,0,NA,NA,NA,NA,NA,682383,682835,scaffold_11
OIIb.11.v1.g004420,0,NA,NA,NA,NA,NA,686730,687809,scaffold_11
OIIb.11.v1.g004430,0,NA,NA,NA,NA,NA,689156,689593,scaffold_11
OIIb.11.v1.g004440,0,NA,NA,NA,NA,NA,689620,692832,scaffold_11
OIIb.11.v1.g004450,0,NA,NA,NA,NA,NA,714897,715373,scaffold_11
OIIb.11.v1.g004460,0,NA,NA,NA,NA,NA,715504,716184,scaffold_11
OIIb.11.v1.g004470,0,NA,NA,NA,NA,NA,716233,716595,scaffold_11
OIIb.11.v1.g004480,0,NA,NA,NA,NA,NA,718155,720049,scaffold_11
OIIb.11.v1.g004490,0.012625503,0.884021438,8.775233444,0.100740504,0.919756458,NA,720801,722249,scaffold_11
OIIb.11.v1.g004500,0,NA,NA,NA,NA,NA,722899,724392,scaffold_11
OIIb.11.v1.g004510,0,NA,NA,NA,NA,NA,725745,726299,scaffold_11
OIIb.11.v1.g004520,0,NA,NA,NA,NA,NA,727224,727700,scaffold_11
OIIb.11.v1.g004530,0,NA,NA,NA,NA,NA,727919,728881,scaffold_11
OIIb.11.v1.g004540,0.010392628,0,8.775233444,0,1,NA,730301,730789,scaffold_11
OIIb.11.v1.g004560,0,NA,NA,NA,NA,NA,736001,737147,scaffold_11
OIIb.11.v1.g004570,0,NA,NA,NA,NA,NA,738612,740138,scaffold_11
OIIb.11.v1.g004580,0,NA,NA,NA,NA,NA,740700,740921,scaffold_11
OIIb.11.v1.g004590,0,NA,NA,NA,NA,NA,741705,742403,scaffold_11
OIIb.11.v1.g004600,0.815229941,-2.825298291,8.736223982,-0.323400396,0.74639203,NA,745072,745488,scaffold_11
OIIb.11.v1.g004610,1.010731293,4.083578959,3.6210761,1.127725252,0.25943597,NA,745958,746362,scaffold_11
OIIb.11.v1.g004620,1.157119623,1.164406246,3.571005456,0.326072379,0.744369594,0.897324976,746538,746906,scaffold_11
OIIb.11.v1.g004630,0.466159358,-0.470090662,8.7553968,-0.053691531,0.95718093,NA,747038,747397,scaffold_11
OIIb.11.v1.g004640,6.477219455,-0.014899644,1.098257131,-0.013566627,0.98917573,1,748539,749006,scaffold_11
OIIb.11.v1.g004650,0.380190021,0.884021438,8.775233444,0.100740504,0.919756458,NA,749292,749678,scaffold_11
OIIb.11.v1.g004660,0.55137203,1.349056093,6.349124084,0.212479088,0.831733291,NA,750096,750731,scaffold_11
OIIb.11.v1.g004670,0.180170673,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,751208,751609,scaffold_11
OIIb.11.v1.g004680,0,NA,NA,NA,NA,NA,751628,751909,scaffold_11
OIIb.11.v1.g004690,0,NA,NA,NA,NA,NA,756202,759147,scaffold_11
OIIb.11.v1.g004700,0,NA,NA,NA,NA,NA,759676,762580,scaffold_11
OIIb.11.v1.g004710,0,NA,NA,NA,NA,NA,762903,763370,scaffold_11
OIIb.11.v1.g004720,0,NA,NA,NA,NA,NA,764737,766035,scaffold_11
OIIb.11.v1.g004730,0.154528311,0,8.775233444,0,1,NA,769132,769870,scaffold_11
OIIb.11.v1.g004740,4.003307811,3.214177432,1.005092306,3.197892783,0.001384357,0.01256838,770666,771973,scaffold_11
OIIb.11.v1.g004750,0.307852344,3.406364127,4.608051212,0.739220111,0.459773351,NA,772200,772567,scaffold_11
OIIb.11.v1.g004760,0.178481549,0,8.409566181,0,1,NA,772606,773001,scaffold_11
OIIb.11.v1.g004770,0,NA,NA,NA,NA,NA,773056,773334,scaffold_11
OIIb.11.v1.g004780,0,NA,NA,NA,NA,NA,774698,774922,scaffold_11
OIIb.11.v1.g004790,0,NA,NA,NA,NA,NA,786732,789944,scaffold_11
OIIb.11.v1.g004800,0,NA,NA,NA,NA,NA,789971,790408,scaffold_11
OIIb.11.v1.g004810,0,NA,NA,NA,NA,NA,791755,792834,scaffold_11
OIIb.11.v1.g004820,0,NA,NA,NA,NA,NA,796729,797181,scaffold_11
OIIb.11.v1.g004850,0,NA,NA,NA,NA,NA,800234,801542,scaffold_11
OIIb.11.v1.g004860,0,NA,NA,NA,NA,NA,801605,803128,scaffold_11
OIIb.11.v1.g004870,0,NA,NA,NA,NA,NA,810626,811873,scaffold_11
OIIb.11.v1.g004880,0,NA,NA,NA,NA,NA,812455,813516,scaffold_11
OIIb.11.v1.g004890,0.541368691,1.349041152,6.359145966,0.212141876,0.831996351,NA,814306,814941,scaffold_11
OIIb.11.v1.g004900,0.190174012,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,815418,815819,scaffold_11
OIIb.11.v1.g004910,0,NA,NA,NA,NA,NA,815838,816119,scaffold_11
OIIb.11.v1.g004920,0,NA,NA,NA,NA,NA,820412,823357,scaffold_11
OIIb.11.v1.g004930,0,NA,NA,NA,NA,NA,823886,826790,scaffold_11
OIIb.11.v1.g004940,0,NA,NA,NA,NA,NA,827113,827580,scaffold_11
OIIb.11.v1.g004950,0,NA,NA,NA,NA,NA,828947,830245,scaffold_11
OIIb.11.v1.g004960,0.63943168,0,2.61142713,0,1,NA,830288,831137,scaffold_11
OIIb.11.v1.g004970,0,NA,NA,NA,NA,NA,831183,831466,scaffold_11
OIIb.11.v1.g004980,0.154528311,0,8.775233444,0,1,NA,833341,834079,scaffold_11
OIIb.11.v1.g004990,4.711171501,3.57331101,1.220861969,2.926875521,0.003423859,0.024895856,834875,836184,scaffold_11
OIIb.11.v1.g005000,0.997235661,1.131637769,1.325973079,0.853439475,0.393415638,NA,836602,837212,scaffold_11
OIIb.11.v1.g005010,0,NA,NA,NA,NA,NA,837267,837545,scaffold_11
OIIb.11.v1.g005020,0,NA,NA,NA,NA,NA,843441,844544,scaffold_11
OIIb.11.v1.g005030,0,NA,NA,NA,NA,NA,845834,846112,scaffold_11
OIIb.11.v1.g005040,0.020741411,0,8.775233444,0,1,NA,846167,848534,scaffold_11
OIIb.11.v1.g005050,0,NA,NA,NA,NA,NA,846825,847184,scaffold_11
OIIb.11.v1.g005060,0,NA,NA,NA,NA,NA,848120,848438,scaffold_11
OIIb.11.v1.g005070,0,NA,NA,NA,NA,NA,849298,850036,scaffold_11
OIIb.11.v1.g005080,1.912443387,3.08578636,1.23543115,2.497740452,0.012498767,0.064414607,852418,852794,scaffold_11
OIIb.11.v1.g005090,0.329580617,-0.558630123,5.813411781,-0.096093335,0.923446445,NA,853133,854431,scaffold_11
OIIb.11.v1.g005100,0,NA,NA,NA,NA,NA,855798,856265,scaffold_11
OIIb.11.v1.g005110,0.034316408,0,8.775233444,0,1,NA,856588,858805,scaffold_11
OIIb.11.v1.g005120,0,NA,NA,NA,NA,NA,860021,862966,scaffold_11
OIIb.11.v1.g005130,0,NA,NA,NA,NA,NA,867259,867540,scaffold_11
OIIb.11.v1.g005140,0,NA,NA,NA,NA,NA,867559,867960,scaffold_11
OIIb.11.v1.g005150,0,NA,NA,NA,NA,NA,868437,869072,scaffold_11
OIIb.11.v1.g005160,0,NA,NA,NA,NA,NA,869862,870923,scaffold_11
OIIb.11.v1.g005170,0,NA,NA,NA,NA,NA,871505,872752,scaffold_11
OIIb.11.v1.g005180,0.019857033,0,8.775233444,0,1,NA,880250,881773,scaffold_11
OIIb.11.v1.g005190,0,NA,NA,NA,NA,NA,881836,883533,scaffold_11
OIIb.11.v1.g005220,0,NA,NA,NA,NA,NA,886195,886647,scaffold_11
OIIb.11.v1.g005230,1.150234936,-0.216407614,2.264392356,-0.095569839,0.92386222,0.987231493,888084,890375,scaffold_11
OIIb.11.v1.g005240,0,NA,NA,NA,NA,NA,890541,891251,scaffold_11
OIIb.11.v1.g005250,0.068914784,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,892103,892504,scaffold_11
OIIb.11.v1.g005260,0,NA,NA,NA,NA,NA,897097,900042,scaffold_11
OIIb.11.v1.g005270,0,NA,NA,NA,NA,NA,900571,903474,scaffold_11
OIIb.11.v1.g005280,0,NA,NA,NA,NA,NA,903797,904264,scaffold_11
OIIb.11.v1.g005290,0,NA,NA,NA,NA,NA,905631,906929,scaffold_11
OIIb.11.v1.g005300,0.154528311,0,8.775233444,0,1,NA,910026,910764,scaffold_11
OIIb.11.v1.g005310,3.989036649,3.189847857,1.008925588,3.161628463,0.001568896,0.013829625,911560,912867,scaffold_11
OIIb.11.v1.g005320,0.409600522,3.406512461,3.089039398,1.102774042,0.270125304,NA,913094,913461,scaffold_11
OIIb.11.v1.g005330,0.255597195,0,4.250354638,0,1,NA,913500,913895,scaffold_11
OIIb.11.v1.g005340,0,NA,NA,NA,NA,NA,913950,914228,scaffold_11
OIIb.11.v1.g005350,0,NA,NA,NA,NA,NA,920606,923176,scaffold_11
OIIb.11.v1.g005390,0,NA,NA,NA,NA,NA,934413,935516,scaffold_11
OIIb.11.v1.g005400,0,NA,NA,NA,NA,NA,936806,937084,scaffold_11
OIIb.11.v1.g005410,0.020741411,0,8.775233444,0,1,NA,937139,939506,scaffold_11
OIIb.11.v1.g005420,0,NA,NA,NA,NA,NA,937797,938156,scaffold_11
OIIb.11.v1.g005430,0,NA,NA,NA,NA,NA,939092,939410,scaffold_11
OIIb.11.v1.g005440,0,NA,NA,NA,NA,NA,940270,941008,scaffold_11
OIIb.11.v1.g005450,2.921582055,3.267076509,1.038544686,3.145821795,0.001656209,0.014418518,943212,944062,scaffold_11
OIIb.11.v1.g005460,0.329580617,-0.558630123,5.813411781,-0.096093335,0.923446445,NA,944105,945403,scaffold_11
OIIb.11.v1.g005470,0,NA,NA,NA,NA,NA,946770,947237,scaffold_11
OIIb.11.v1.g005480,0.034316408,0,8.775233444,0,1,NA,947560,949777,scaffold_11
OIIb.11.v1.g005490,0,NA,NA,NA,NA,NA,950993,953938,scaffold_11
OIIb.11.v1.g005500,0,NA,NA,NA,NA,NA,958231,958512,scaffold_11
OIIb.11.v1.g005510,0,NA,NA,NA,NA,NA,958531,958932,scaffold_11
OIIb.11.v1.g005520,0,NA,NA,NA,NA,NA,959409,960044,scaffold_11
OIIb.11.v1.g005530,0,NA,NA,NA,NA,NA,960462,960848,scaffold_11
OIIb.11.v1.g005540,0,NA,NA,NA,NA,NA,961134,961601,scaffold_11
OIIb.11.v1.g005550,0,NA,NA,NA,NA,NA,962743,963102,scaffold_11
OIIb.11.v1.g005560,0,NA,NA,NA,NA,NA,963234,963602,scaffold_11
OIIb.11.v1.g005570,0,NA,NA,NA,NA,NA,963778,964182,scaffold_11
OIIb.11.v1.g005580,0,NA,NA,NA,NA,NA,964652,965068,scaffold_11
OIIb.11.v1.g005590,0,NA,NA,NA,NA,NA,967737,968435,scaffold_11
OIIb.11.v1.g005600,0,NA,NA,NA,NA,NA,969219,969440,scaffold_11
OIIb.11.v1.g005610,0,NA,NA,NA,NA,NA,970002,970838,scaffold_11
OIIb.11.v1.g005620,0.054567051,0,8.775233444,0,1,NA,970934,971527,scaffold_11
OIIb.11.v1.g005630,0,NA,NA,NA,NA,NA,972992,974138,scaffold_11
OIIb.11.v1.g005650,0,NA,NA,NA,NA,NA,979350,979838,scaffold_11
OIIb.11.v1.g005660,0,NA,NA,NA,NA,NA,981258,982220,scaffold_11
OIIb.11.v1.g005670,0,NA,NA,NA,NA,NA,982439,982915,scaffold_11
OIIb.11.v1.g005680,0,NA,NA,NA,NA,NA,983840,984394,scaffold_11
OIIb.11.v1.g005690,0,NA,NA,NA,NA,NA,985747,987240,scaffold_11
OIIb.11.v1.g005700,0,NA,NA,NA,NA,NA,987890,989338,scaffold_11
OIIb.11.v1.g005710,0,NA,NA,NA,NA,NA,990090,991984,scaffold_11
OIIb.11.v1.g005720,0,NA,NA,NA,NA,NA,992724,993359,scaffold_11
OIIb.11.v1.g005730,0,NA,NA,NA,NA,NA,993836,994237,scaffold_11
OIIb.11.v1.g005740,0,NA,NA,NA,NA,NA,994256,994537,scaffold_11
OIIb.11.v1.g005750,0,NA,NA,NA,NA,NA,998830,1001775,scaffold_11
OIIb.11.v1.g005760,0,NA,NA,NA,NA,NA,1002304,1005208,scaffold_11
OIIb.11.v1.g005770,0,NA,NA,NA,NA,NA,1005531,1005998,scaffold_11
OIIb.11.v1.g005780,0,NA,NA,NA,NA,NA,1007365,1008663,scaffold_11
OIIb.11.v1.g005790,0,NA,NA,NA,NA,NA,1009602,1009917,scaffold_11
OIIb.11.v1.g005800,0.041172184,0.884021438,8.775233444,0.100740504,0.919756458,NA,1011760,1012008,scaffold_11
OIIb.11.v1.g005810,4.004712532,3.18992552,1.010027462,3.158256224,0.00158716,0.013961447,1013293,1014600,scaffold_11
OIIb.11.v1.g005820,0.953262133,0.945404617,1.32179982,0.715240389,0.474460516,NA,1015018,1015628,scaffold_11
OIIb.11.v1.g005830,0,NA,NA,NA,NA,NA,1015683,1015961,scaffold_11
OIIb.11.v1.g005840,0,NA,NA,NA,NA,NA,1017325,1017549,scaffold_11
OIIb.11.v1.g005850,0,NA,NA,NA,NA,NA,1038540,1038818,scaffold_11
OIIb.11.v1.g005860,0.020741411,0,8.775233444,0,1,NA,1038873,1041240,scaffold_11
OIIb.11.v1.g005870,0,NA,NA,NA,NA,NA,1039531,1039890,scaffold_11
OIIb.11.v1.g005880,0,NA,NA,NA,NA,NA,1042004,1042742,scaffold_11
OIIb.11.v1.g005890,0.030147075,-0.558618053,8.775233444,-0.063658483,0.949242163,NA,1044217,1044600,scaffold_11
OIIb.11.v1.g005900,13.31727115,1.324253802,0.809595687,1.635697698,0.101902872,0.280216292,1045839,1047137,scaffold_11
OIIb.11.v1.g005910,0.011050041,0,8.775233444,0,1,NA,1048506,1048973,scaffold_11
OIIb.11.v1.g005920,0,NA,NA,NA,NA,NA,1049665,1050063,scaffold_11
OIIb.11.v1.g005930,0.545540293,3.523544509,8.731613893,0.403538745,0.686551938,NA,1050507,1051829,scaffold_11
OIIb.11.v1.g005940,0,NA,NA,NA,NA,NA,1052351,1055296,scaffold_11
OIIb.11.v1.g005960,0,NA,NA,NA,NA,NA,1055824,1058728,scaffold_11
