gene,bin,bin_adv,dN/dS,species
CaSa_OIIb.chr5.v1.g227370.t1,Autosomal,Autosomal,0.2357,cannabis
CaSa_OIIb.chr4.v1.g187500.t1,Autosomal,Autosomal,0.2356,cannabis
CaSa_OIIb.chr4.v1.g211650.t1,Autosomal,Autosomal,0.23557,cannabis
CaSa_OIIb.chr2.v1.g140820.t1,Autosomal,Autosomal,0.2355,cannabis
CaSa_OIIb.chr8.v1.g345670.t1,Autosomal,Autosomal,0.23549,cannabis
CaSa_OIIb.chr2.v1.g110300.t1,Autosomal,Autosomal,0.2354,cannabis
CaSa_OIIb.chr4.v1.g209670.t1,Autosomal,Autosomal,0.23538,cannabis
CaSa_OIIb.chr2.v1.g127880.t1,Autosomal,Autosomal,0.23536,cannabis
CaSa_OIIb.chr6.v1.g282050.t1,Autosomal,Autosomal,0.23533,cannabis
CaSa_OIIb.chr2.v1.g139680.t1,Autosomal,Autosomal,0.23532,cannabis
CaSa_OIIb.chr5.v1.g226150.t1,Autosomal,Autosomal,0.23525,cannabis
CaSa_OIIb.chr5.v1.g232390.t1,Autosomal,Autosomal,0.23522,cannabis
CaSa_OIIb.chr8.v1.g337960.t1,Autosomal,Autosomal,0.23517,cannabis
CaSa_OIIb.chr5.v1.g252580.t1,Autosomal,Autosomal,0.23513,cannabis
CaSa_OIIb.chr1.v1.g062500.t1,Autosomal,Autosomal,0.23502,cannabis
CaSa_OIIb.chr9.v1.g382190.t1,Autosomal,Autosomal,0.235,cannabis
CaSa_OIIb.chr2.v1.g138180.t1,Autosomal,Autosomal,0.23498,cannabis
CaSa_OIIb.chr3.v1.g172390.t1,Autosomal,Autosomal,0.23493,cannabis
CaSa_OIIb.chr1.v1.g101220.t1,Autosomal,Autosomal,0.23486,cannabis
CaSa_OIIb.chr8.v1.g325900.t1,Autosomal,Autosomal,0.23477,cannabis
CaSa_OIIb.chr8.v1.g343920.t1,Autosomal,Autosomal,0.23476,cannabis
CaSa_OIIb.chr1.v1.g083390.t1,Autosomal,Autosomal,0.23465,cannabis
CaSa_OIIb.chr1.v1.g094210.t1,Autosomal,Autosomal,0.23459,cannabis
CaSa_OIIb.chr6.v1.g286540.t1,Autosomal,Autosomal,0.23459,cannabis
CaSa_OIIb.chr4.v1.g207970.t1,Autosomal,Autosomal,0.23452,cannabis
CaSa_OIIb.chr8.v1.g329760.t1,Autosomal,Autosomal,0.23448,cannabis
CaSa_OIIb.chr1.v1.g061210.t1,Autosomal,Autosomal,0.23439,cannabis
CaSa_OIIb.chr4.v1.g198830.t1,Autosomal,Autosomal,0.23437,cannabis
CaSa_OIIb.chr8.v1.g344900.t1,Autosomal,Autosomal,0.23435,cannabis
CaSa_OIIb.chr7.v1.g298780.t1,Autosomal,Autosomal,0.23431,cannabis
CaSa_OIIb.chrX.v1.g439940.t1,X-linked,HXR,0.23417,cannabis
CaSa_OIIb.chr8.v1.g351960.t1,Autosomal,Autosomal,0.23413,cannabis
CaSa_OIIb.chr2.v1.g136780.t1,Autosomal,Autosomal,0.23413,cannabis
CaSa_OIIb.chr8.v1.g343900.t1,Autosomal,Autosomal,0.2341,cannabis
CaSa_OIIb.chr6.v1.g285440.t1,Autosomal,Autosomal,0.23406,cannabis
CaSa_OIIb.chr1.v1.g079370.t1,Autosomal,Autosomal,0.23404,cannabis
CaSa_OIIb.chr2.v1.g136430.t1,Autosomal,Autosomal,0.23402,cannabis
CaSa_OIIb.chr1.v1.g086500.t1,Autosomal,Autosomal,0.23396,cannabis
CaSa_OIIb.chr7.v1.g302780.t1,Autosomal,Autosomal,0.23395,cannabis
CaSa_OIIb.chrX.v1.g391710.t1,X-linked,PAR,0.23395,cannabis
CaSa_OIIb.chr7.v1.g296720.t1,Autosomal,Autosomal,0.23391,cannabis
CaSa_OIIb.chrX.v1.g408510.t1,X-linked,PAR,0.23389,cannabis
CaSa_OIIb.chr2.v1.g138820.t1,Autosomal,Autosomal,0.23388,cannabis
CaSa_OIIb.chr5.v1.g245890.t1,Autosomal,Autosomal,0.23386,cannabis
CaSa_OIIb.chr7.v1.g295510.t1,Autosomal,Autosomal,0.2338,cannabis
CaSa_OIIb.chr8.v1.g335860.t1,Autosomal,Autosomal,0.2338,cannabis
CaSa_OIIb.chrX.v1.g399230.t1,X-linked,PAR,0.23375,cannabis
CaSa_OIIb.chrX.v1.g397990.t1,X-linked,PAR,0.23374,cannabis
CaSa_OIIb.chr1.v1.g087930.t1,Autosomal,Autosomal,0.23359,cannabis
CaSa_OIIb.chrX.v1.g407550.t1,X-linked,PAR,0.23353,cannabis
CaSa_OIIb.chr6.v1.g279660.t1,Autosomal,Autosomal,0.23347,cannabis
CaSa_OIIb.chr2.v1.g111260.t1,Autosomal,Autosomal,0.23338,cannabis
CaSa_OIIb.chr9.v1.g356960.t1,Autosomal,Autosomal,0.23328,cannabis
CaSa_OIIb.chr1.v1.g081110.t1,Autosomal,Autosomal,0.23321,cannabis
CaSa_OIIb.chr8.v1.g343100.t1,Autosomal,Autosomal,0.23319,cannabis
CaSa_OIIb.chr9.v1.g390220.t1,Autosomal,Autosomal,0.23318,cannabis
CaSa_OIIb.chr4.v1.g221590.t1,Autosomal,Autosomal,0.23314,cannabis
CaSa_OIIb.chr7.v1.g312320.t1,Autosomal,Autosomal,0.23313,cannabis
CaSa_OIIb.chr9.v1.g380510.t1,Autosomal,Autosomal,0.23308,cannabis
CaSa_OIIb.chr1.v1.g101780.t1,Autosomal,Autosomal,0.23307,cannabis
CaSa_OIIb.chr9.v1.g363490.t1,Autosomal,Autosomal,0.23304,cannabis
CaSa_OIIb.chr6.v1.g281810.t1,Autosomal,Autosomal,0.23296,cannabis
CaSa_OIIb.chr5.v1.g252790.t1,Autosomal,Autosomal,0.23294,cannabis
CaSa_OIIb.chr1.v1.g078960.t1,Autosomal,Autosomal,0.23293,cannabis
CaSa_OIIb.chr5.v1.g228650.t1,Autosomal,Autosomal,0.23292,cannabis
CaSa_OIIb.chrX.v1.g424480.t1,X-linked,HXR,0.2329,cannabis
CaSa_OIIb.chr8.v1.g330850.t1,Autosomal,Autosomal,0.23288,cannabis
CaSa_OIIb.chr3.v1.g174700.t1,Autosomal,Autosomal,0.23285,cannabis
CaSa_OIIb.chr1.v1.g080970.t1,Autosomal,Autosomal,0.23284,cannabis
CaSa_OIIb.chr9.v1.g389670.t1,Autosomal,Autosomal,0.23282,cannabis
CaSa_OIIb.chr3.v1.g155210.t1,Autosomal,Autosomal,0.23282,cannabis
CaSa_OIIb.chrX.v1.g403940.t1,X-linked,PAR,0.23276,cannabis
CaSa_OIIb.chr1.v1.g090680.t1,Autosomal,Autosomal,0.23274,cannabis
CaSa_OIIb.chr3.v1.g181440.t1,Autosomal,Autosomal,0.2327,cannabis
CaSa_OIIb.chr9.v1.g360790.t1,Autosomal,Autosomal,0.23267,cannabis
CaSa_OIIb.chr8.v1.g352560.t1,Autosomal,Autosomal,0.23267,cannabis
CaSa_OIIb.chr3.v1.g144670.t1,Autosomal,Autosomal,0.23248,cannabis
CaSa_OIIb.chr1.v1.g097720.t1,Autosomal,Autosomal,0.23246,cannabis
CaSa_OIIb.chr3.v1.g177500.t1,Autosomal,Autosomal,0.23244,cannabis
CaSa_OIIb.chr8.v1.g330070.t1,Autosomal,Autosomal,0.23234,cannabis
CaSa_OIIb.chr8.v1.g345880.t1,Autosomal,Autosomal,0.23231,cannabis
CaSa_OIIb.chrX.v1.g394810.t1,X-linked,PAR,0.2322,cannabis
CaSa_OIIb.chr3.v1.g160490.t1,Autosomal,Autosomal,0.2321,cannabis
CaSa_OIIb.chr1.v1.g094790.t1,Autosomal,Autosomal,0.23209,cannabis
CaSa_OIIb.chr8.v1.g344500.t1,Autosomal,Autosomal,0.23183,cannabis
CaSa_OIIb.chr2.v1.g112540.t1,Autosomal,Autosomal,0.23183,cannabis
CaSa_OIIb.chr1.v1.g059780.t1,Autosomal,Autosomal,0.23178,cannabis
CaSa_OIIb.chrX.v1.g427510.t1,X-linked,HXR,0.23174,cannabis
CaSa_OIIb.chr4.v1.g186500.t1,Autosomal,Autosomal,0.23174,cannabis
CaSa_OIIb.chr1.v1.g086100.t1,Autosomal,Autosomal,0.23172,cannabis
CaSa_OIIb.chr4.v1.g218310.t1,Autosomal,Autosomal,0.23167,cannabis
CaSa_OIIb.chr4.v1.g217310.t1,Autosomal,Autosomal,0.23164,cannabis
CaSa_OIIb.chr2.v1.g111880.t1,Autosomal,Autosomal,0.23164,cannabis
CaSa_OIIb.chrX.v1.g419750.t1,X-linked,HXR,0.23153,cannabis
CaSa_OIIb.chr4.v1.g184860.t1,Autosomal,Autosomal,0.23148,cannabis
CaSa_OIIb.chr9.v1.g386780.t1,Autosomal,Autosomal,0.23144,cannabis
CaSa_OIIb.chr8.v1.g339580.t1,Autosomal,Autosomal,0.23144,cannabis
CaSa_OIIb.chr4.v1.g195640.t1,Autosomal,Autosomal,0.23136,cannabis
CaSa_OIIb.chr8.v1.g338500.t1,Autosomal,Autosomal,0.23136,cannabis
CaSa_OIIb.chr1.v1.g086230.t1,Autosomal,Autosomal,0.23134,cannabis
CaSa_OIIb.chr6.v1.g278920.t1,Autosomal,Autosomal,0.23123,cannabis
CaSa_OIIb.chr8.v1.g344880.t1,Autosomal,Autosomal,0.23122,cannabis
CaSa_OIIb.chr7.v1.g320250.t1,Autosomal,Autosomal,0.23118,cannabis
CaSa_OIIb.chr4.v1.g187360.t1,Autosomal,Autosomal,0.23116,cannabis
CaSa_OIIb.chr3.v1.g171400.t1,Autosomal,Autosomal,0.23116,cannabis
CaSa_OIIb.chr8.v1.g330380.t1,Autosomal,Autosomal,0.23112,cannabis
CaSa_OIIb.chr9.v1.g364090.t1,Autosomal,Autosomal,0.23112,cannabis
CaSa_OIIb.chr9.v1.g372990.t1,Autosomal,Autosomal,0.23111,cannabis
CaSa_OIIb.chr9.v1.g370650.t1,Autosomal,Autosomal,0.23103,cannabis
CaSa_OIIb.chrX.v1.g393780.t1,X-linked,PAR,0.231,cannabis
CaSa_OIIb.chr3.v1.g157500.t1,Autosomal,Autosomal,0.231,cannabis
CaSa_OIIb.chr8.v1.g351630.t1,Autosomal,Autosomal,0.23098,cannabis
CaSa_OIIb.chr2.v1.g115160.t1,Autosomal,Autosomal,0.23091,cannabis
CaSa_OIIb.chr8.v1.g328510.t1,Autosomal,Autosomal,0.23089,cannabis
CaSa_OIIb.chr4.v1.g215980.t1,Autosomal,Autosomal,0.23088,cannabis
CaSa_OIIb.chr1.v1.g083510.t1,Autosomal,Autosomal,0.23087,cannabis
CaSa_OIIb.chrX.v1.g427390.t1,X-linked,HXR,0.23082,cannabis
CaSa_OIIb.chr4.v1.g210840.t1,Autosomal,Autosomal,0.23068,cannabis
CaSa_OIIb.chr2.v1.g133130.t1,Autosomal,Autosomal,0.23064,cannabis
CaSa_OIIb.chr3.v1.g146410.t1,Autosomal,Autosomal,0.23062,cannabis
CaSa_OIIb.chr1.v1.g093780.t1,Autosomal,Autosomal,0.23056,cannabis
CaSa_OIIb.chr9.v1.g388060.t1,Autosomal,Autosomal,0.23056,cannabis
CaSa_OIIb.chrX.v1.g434960.t1,X-linked,HXR,0.23052,cannabis
CaSa_OIIb.chr5.v1.g253780.t1,Autosomal,Autosomal,0.23041,cannabis
CaSa_OIIb.chr4.v1.g219570.t1,Autosomal,Autosomal,0.2304,cannabis
CaSa_OIIb.chr2.v1.g137400.t1,Autosomal,Autosomal,0.2304,cannabis
CaSa_OIIb.chr2.v1.g137090.t1,Autosomal,Autosomal,0.23039,cannabis
CaSa_OIIb.chr5.v1.g253760.t1,Autosomal,Autosomal,0.23024,cannabis
CaSa_OIIb.chr2.v1.g114940.t1,Autosomal,Autosomal,0.23023,cannabis
CaSa_OIIb.chr9.v1.g357460.t1,Autosomal,Autosomal,0.23022,cannabis
CaSa_OIIb.chr8.v1.g327050.t1,Autosomal,Autosomal,0.23021,cannabis
CaSa_OIIb.chr8.v1.g353880.t1,Autosomal,Autosomal,0.2302,cannabis
CaSa_OIIb.chrX.v1.g427130.t1,X-linked,HXR,0.23017,cannabis
CaSa_OIIb.chr7.v1.g317990.t1,Autosomal,Autosomal,0.23014,cannabis
CaSa_OIIb.chrX.v1.g425130.t1,X-linked,HXR,0.2301,cannabis
CaSa_OIIb.chr8.v1.g351700.t1,Autosomal,Autosomal,0.23008,cannabis
CaSa_OIIb.chr4.v1.g201960.t1,Autosomal,Autosomal,0.23007,cannabis
CaSa_OIIb.chrX.v1.g391220.t1,X-linked,PAR,0.23005,cannabis
CaSa_OIIb.chr8.v1.g330600.t1,Autosomal,Autosomal,0.23004,cannabis
CaSa_OIIb.chr4.v1.g191130.t1,Autosomal,Autosomal,0.22996,cannabis
CaSa_OIIb.chr7.v1.g303030.t1,Autosomal,Autosomal,0.22989,cannabis
CaSa_OIIb.chr8.v1.g353270.t1,Autosomal,Autosomal,0.22965,cannabis
CaSa_OIIb.chr2.v1.g113420.t1,Autosomal,Autosomal,0.22958,cannabis
CaSa_OIIb.chr2.v1.g142030.t1,Autosomal,Autosomal,0.2295,cannabis
CaSa_OIIb.chr1.v1.g062930.t1,Autosomal,Autosomal,0.22948,cannabis
CaSa_OIIb.chr4.v1.g185250.t1,Autosomal,Autosomal,0.22948,cannabis
CaSa_OIIb.chr1.v1.g100860.t1,Autosomal,Autosomal,0.22944,cannabis
CaSa_OIIb.chrX.v1.g394440.t1,X-linked,PAR,0.22943,cannabis
CaSa_OIIb.chr8.v1.g350030.t1,Autosomal,Autosomal,0.22943,cannabis
CaSa_OIIb.chr8.v1.g337540.t1,Autosomal,Autosomal,0.22939,cannabis
CaSa_OIIb.chr8.v1.g330400.t1,Autosomal,Autosomal,0.22931,cannabis
CaSa_OIIb.chr2.v1.g113510.t1,Autosomal,Autosomal,0.22931,cannabis
CaSa_OIIb.chr3.v1.g145100.t1,Autosomal,Autosomal,0.22928,cannabis
CaSa_OIIb.chr1.v1.g067080.t1,Autosomal,Autosomal,0.22917,cannabis
CaSa_OIIb.chrX.v1.g423710.t1,X-linked,HXR,0.22907,cannabis
CaSa_OIIb.chr8.v1.g329140.t1,Autosomal,Autosomal,0.22901,cannabis
CaSa_OIIb.chr8.v1.g341330.t1,Autosomal,Autosomal,0.22891,cannabis
CaSa_OIIb.chrX.v1.g439480.t1,X-linked,HXR,0.2289,cannabis
CaSa_OIIb.chrX.v1.g433300.t1,X-linked,HXR,0.22888,cannabis
CaSa_OIIb.chrX.v1.g415050.t1,X-linked,HXR,0.22886,cannabis
CaSa_OIIb.chr2.v1.g141230.t1,Autosomal,Autosomal,0.22886,cannabis
CaSa_OIIb.chr9.v1.g386070.t1,Autosomal,Autosomal,0.22884,cannabis
CaSa_OIIb.chr8.v1.g334530.t1,Autosomal,Autosomal,0.22884,cannabis
CaSa_OIIb.chr5.v1.g253910.t1,Autosomal,Autosomal,0.2288,cannabis
CaSa_OIIb.chr1.v1.g095510.t1,Autosomal,Autosomal,0.22877,cannabis
CaSa_OIIb.chr8.v1.g354940.t1,Autosomal,Autosomal,0.22876,cannabis
CaSa_OIIb.chr8.v1.g330770.t1,Autosomal,Autosomal,0.22876,cannabis
CaSa_OIIb.chr4.v1.g212600.t1,Autosomal,Autosomal,0.22876,cannabis
CaSa_OIIb.chr2.v1.g144210.t1,Autosomal,Autosomal,0.22873,cannabis
CaSa_OIIb.chr1.v1.g076050.t1,Autosomal,Autosomal,0.22869,cannabis
CaSa_OIIb.chr5.v1.g222440.t1,Autosomal,Autosomal,0.22861,cannabis
CaSa_OIIb.chr9.v1.g359260.t1,Autosomal,Autosomal,0.2286,cannabis
CaSa_OIIb.chr9.v1.g386410.t1,Autosomal,Autosomal,0.22856,cannabis
CaSa_OIIb.chr1.v1.g088410.t1,Autosomal,Autosomal,0.22855,cannabis
CaSa_OIIb.chr2.v1.g140900.t1,Autosomal,Autosomal,0.22853,cannabis
CaSa_OIIb.chr5.v1.g235630.t1,Autosomal,Autosomal,0.22846,cannabis
CaSa_OIIb.chr6.v1.g258520.t1,Autosomal,Autosomal,0.2284,cannabis
CaSa_OIIb.chr2.v1.g116250.t1,Autosomal,Autosomal,0.22839,cannabis
CaSa_OIIb.chr9.v1.g361560.t1,Autosomal,Autosomal,0.22829,cannabis
CaSa_OIIb.chr2.v1.g141520.t1,Autosomal,Autosomal,0.22823,cannabis
CaSa_OIIb.chr9.v1.g361390.t1,Autosomal,Autosomal,0.2282,cannabis
CaSa_OIIb.chr2.v1.g116520.t1,Autosomal,Autosomal,0.2281,cannabis
CaSa_OIIb.chr1.v1.g061690.t1,Autosomal,Autosomal,0.22805,cannabis
CaSa_OIIb.chr2.v1.g139240.t1,Autosomal,Autosomal,0.22805,cannabis
CaSa_OIIb.chr1.v1.g064670.t1,Autosomal,Autosomal,0.22803,cannabis
CaSa_OIIb.chr3.v1.g148070.t1,Autosomal,Autosomal,0.22799,cannabis
CaSa_OIIb.chr6.v1.g278100.t1,Autosomal,Autosomal,0.22795,cannabis
CaSa_OIIb.chr8.v1.g333880.t1,Autosomal,Autosomal,0.22788,cannabis
CaSa_OIIb.chr8.v1.g345040.t1,Autosomal,Autosomal,0.22782,cannabis
CaSa_OIIb.chr1.v1.g087070.t1,Autosomal,Autosomal,0.22769,cannabis
CaSa_OIIb.chr3.v1.g148740.t1,Autosomal,Autosomal,0.2276,cannabis
CaSa_OIIb.chr9.v1.g359100.t1,Autosomal,Autosomal,0.22753,cannabis
CaSa_OIIb.chr2.v1.g128870.t1,Autosomal,Autosomal,0.22748,cannabis
CaSa_OIIb.chrX.v1.g403500.t1,X-linked,PAR,0.22745,cannabis
CaSa_OIIb.chr1.v1.g079970.t1,Autosomal,Autosomal,0.22745,cannabis
CaSa_OIIb.chr9.v1.g361880.t1,Autosomal,Autosomal,0.22745,cannabis
CaSa_OIIb.chr5.v1.g251190.t1,Autosomal,Autosomal,0.22743,cannabis
CaSa_OIIb.chr7.v1.g291590.t1,Autosomal,Autosomal,0.22732,cannabis
CaSa_OIIb.chr3.v1.g176650.t1,Autosomal,Autosomal,0.2273,cannabis
CaSa_OIIb.chr8.v1.g342790.t1,Autosomal,Autosomal,0.2273,cannabis
CaSa_OIIb.chr3.v1.g174020.t1,Autosomal,Autosomal,0.22728,cannabis
CaSa_OIIb.chr5.v1.g252640.t1,Autosomal,Autosomal,0.22723,cannabis
CaSa_OIIb.chrX.v1.g391780.t1,X-linked,PAR,0.22717,cannabis
CaSa_OIIb.chr1.v1.g068900.t1,Autosomal,Autosomal,0.22713,cannabis
CaSa_OIIb.chr8.v1.g349690.t1,Autosomal,Autosomal,0.22709,cannabis
CaSa_OIIb.chr6.v1.g265070.t1,Autosomal,Autosomal,0.22708,cannabis
CaSa_OIIb.chr4.v1.g219460.t1,Autosomal,Autosomal,0.22708,cannabis
CaSa_OIIb.chr1.v1.g102770.t1,Autosomal,Autosomal,0.22704,cannabis
CaSa_OIIb.chr1.v1.g085900.t1,Autosomal,Autosomal,0.22692,cannabis
CaSa_OIIb.chr9.v1.g362410.t1,Autosomal,Autosomal,0.22691,cannabis
CaSa_OIIb.chr8.v1.g344350.t1,Autosomal,Autosomal,0.22683,cannabis
CaSa_OIIb.chr5.v1.g237220.t1,Autosomal,Autosomal,0.22683,cannabis
CaSa_OIIb.chr6.v1.g281330.t1,Autosomal,Autosomal,0.22669,cannabis
CaSa_OIIb.chrX.v1.g400290.t1,X-linked,PAR,0.22667,cannabis
CaSa_OIIb.chr1.v1.g094560.t1,Autosomal,Autosomal,0.22666,cannabis
CaSa_OIIb.chr1.v1.g102550.t1,Autosomal,Autosomal,0.22661,cannabis
CaSa_OIIb.chr1.v1.g099820.t1,Autosomal,Autosomal,0.22659,cannabis
CaSa_OIIb.chr8.v1.g341090.t1,Autosomal,Autosomal,0.22656,cannabis
CaSa_OIIb.chr1.v1.g098860.t1,Autosomal,Autosomal,0.22654,cannabis
CaSa_OIIb.chr9.v1.g362040.t1,Autosomal,Autosomal,0.22654,cannabis
CaSa_OIIb.chr1.v1.g080990.t1,Autosomal,Autosomal,0.22653,cannabis
CaSa_OIIb.chr2.v1.g143890.t1,Autosomal,Autosomal,0.22651,cannabis
CaSa_OIIb.chr1.v1.g097600.t1,Autosomal,Autosomal,0.22648,cannabis
CaSa_OIIb.chr2.v1.g138190.t1,Autosomal,Autosomal,0.22648,cannabis
CaSa_OIIb.chr9.v1.g358630.t1,Autosomal,Autosomal,0.22647,cannabis
CaSa_OIIb.chr6.v1.g271980.t1,Autosomal,Autosomal,0.22637,cannabis
CaSa_OIIb.chr5.v1.g246890.t1,Autosomal,Autosomal,0.22635,cannabis
CaSa_OIIb.chrX.v1.g430340.t1,X-linked,HXR,0.22627,cannabis
CaSa_OIIb.chr3.v1.g168080.t1,Autosomal,Autosomal,0.22626,cannabis
CaSa_OIIb.chrX.v1.g428130.t1,X-linked,HXR,0.22625,cannabis
CaSa_OIIb.chr5.v1.g227970.t1,Autosomal,Autosomal,0.2262,cannabis
CaSa_OIIb.chrX.v1.g399080.t1,X-linked,PAR,0.22606,cannabis
CaSa_OIIb.chr1.v1.g097110.t1,Autosomal,Autosomal,0.22604,cannabis
CaSa_OIIb.chr5.v1.g250200.t1,Autosomal,Autosomal,0.22604,cannabis
CaSa_OIIb.chrX.v1.g426890.t1,X-linked,HXR,0.22601,cannabis
CaSa_OIIb.chr8.v1.g321950.t1,Autosomal,Autosomal,0.22601,cannabis
CaSa_OIIb.chr7.v1.g292590.t1,Autosomal,Autosomal,0.226,cannabis
CaSa_OIIb.chr7.v1.g293090.t1,Autosomal,Autosomal,0.22599,cannabis
CaSa_OIIb.chr8.v1.g348740.t1,Autosomal,Autosomal,0.22589,cannabis
CaSa_OIIb.chr9.v1.g365540.t1,Autosomal,Autosomal,0.22588,cannabis
CaSa_OIIb.chr8.v1.g350200.t1,Autosomal,Autosomal,0.22573,cannabis
CaSa_OIIb.chrX.v1.g405060.t1,X-linked,PAR,0.22572,cannabis
CaSa_OIIb.chr8.v1.g352360.t1,Autosomal,Autosomal,0.22572,cannabis
CaSa_OIIb.chr4.v1.g209320.t1,Autosomal,Autosomal,0.2257,cannabis
CaSa_OIIb.chr8.v1.g344740.t1,Autosomal,Autosomal,0.2257,cannabis
CaSa_OIIb.chrX.v1.g427400.t1,X-linked,HXR,0.22567,cannabis
CaSa_OIIb.chr8.v1.g345210.t1,Autosomal,Autosomal,0.22563,cannabis
CaSa_OIIb.chr1.v1.g060230.t1,Autosomal,Autosomal,0.22561,cannabis
CaSa_OIIb.chr7.v1.g314070.t1,Autosomal,Autosomal,0.22559,cannabis
CaSa_OIIb.chr9.v1.g374170.t1,Autosomal,Autosomal,0.22554,cannabis
CaSa_OIIb.chr4.v1.g208360.t1,Autosomal,Autosomal,0.22553,cannabis
CaSa_OIIb.chr8.v1.g326820.t1,Autosomal,Autosomal,0.22552,cannabis
CaSa_OIIb.chr7.v1.g303690.t1,Autosomal,Autosomal,0.22551,cannabis
CaSa_OIIb.chr2.v1.g106070.t1,Autosomal,Autosomal,0.22541,cannabis
CaSa_OIIb.chr2.v1.g134510.t1,Autosomal,Autosomal,0.22541,cannabis
CaSa_OIIb.chr3.v1.g168960.t1,Autosomal,Autosomal,0.2253,cannabis
CaSa_OIIb.chr3.v1.g181000.t1,Autosomal,Autosomal,0.22526,cannabis
CaSa_OIIb.chr1.v1.g094590.t1,Autosomal,Autosomal,0.2252,cannabis
CaSa_OIIb.chrX.v1.g394330.t1,X-linked,PAR,0.22516,cannabis
CaSa_OIIb.chr1.v1.g079950.t1,Autosomal,Autosomal,0.22511,cannabis
CaSa_OIIb.chrX.v1.g394230.t1,X-linked,PAR,0.2251,cannabis
CaSa_OIIb.chr5.v1.g249370.t1,Autosomal,Autosomal,0.22508,cannabis
CaSa_OIIb.chr8.v1.g348920.t1,Autosomal,Autosomal,0.22501,cannabis
CaSa_OIIb.chr1.v1.g079420.t1,Autosomal,Autosomal,0.22492,cannabis
CaSa_OIIb.chr5.v1.g225000.t1,Autosomal,Autosomal,0.22488,cannabis
CaSa_OIIb.chr3.v1.g144840.t1,Autosomal,Autosomal,0.22484,cannabis
CaSa_OIIb.chr8.v1.g323110.t1,Autosomal,Autosomal,0.22481,cannabis
CaSa_OIIb.chr8.v1.g350140.t1,Autosomal,Autosomal,0.2248,cannabis
CaSa_OIIb.chrX.v1.g398810.t1,X-linked,PAR,0.22467,cannabis
CaSa_OIIb.chr6.v1.g265580.t1,Autosomal,Autosomal,0.22466,cannabis
CaSa_OIIb.chr5.v1.g238570.t1,Autosomal,Autosomal,0.22463,cannabis
CaSa_OIIb.chr2.v1.g111080.t1,Autosomal,Autosomal,0.22447,cannabis
CaSa_OIIb.chr1.v1.g094600.t1,Autosomal,Autosomal,0.22447,cannabis
CaSa_OIIb.chr8.v1.g331250.t1,Autosomal,Autosomal,0.22442,cannabis
CaSa_OIIb.chr1.v1.g074840.t1,Autosomal,Autosomal,0.22441,cannabis
CaSa_OIIb.chr4.v1.g210660.t1,Autosomal,Autosomal,0.22438,cannabis
CaSa_OIIb.chr8.v1.g330750.t1,Autosomal,Autosomal,0.22437,cannabis
CaSa_OIIb.chr3.v1.g157430.t1,Autosomal,Autosomal,0.22434,cannabis
CaSa_OIIb.chr9.v1.g390070.t1,Autosomal,Autosomal,0.22434,cannabis
CaSa_OIIb.chrX.v1.g402630.t1,X-linked,PAR,0.22434,cannabis
CaSa_OIIb.chr3.v1.g176570.t1,Autosomal,Autosomal,0.22432,cannabis
CaSa_OIIb.chr1.v1.g080570.t1,Autosomal,Autosomal,0.22431,cannabis
CaSa_OIIb.chr8.v1.g351990.t1,Autosomal,Autosomal,0.22417,cannabis
CaSa_OIIb.chr8.v1.g328030.t1,Autosomal,Autosomal,0.22416,cannabis
CaSa_OIIb.chr4.v1.g213530.t1,Autosomal,Autosomal,0.22405,cannabis
CaSa_OIIb.chr1.v1.g061910.t1,Autosomal,Autosomal,0.22403,cannabis
CaSa_OIIb.chr3.v1.g159130.t1,Autosomal,Autosomal,0.22401,cannabis
CaSa_OIIb.chr8.v1.g341100.t1,Autosomal,Autosomal,0.22398,cannabis
CaSa_OIIb.chr5.v1.g248200.t1,Autosomal,Autosomal,0.22398,cannabis
CaSa_OIIb.chr1.v1.g083150.t1,Autosomal,Autosomal,0.22394,cannabis
CaSa_OIIb.chr8.v1.g339800.t1,Autosomal,Autosomal,0.22388,cannabis
CaSa_OIIb.chr4.v1.g193700.t1,Autosomal,Autosomal,0.22387,cannabis
CaSa_OIIb.chr3.v1.g146580.t1,Autosomal,Autosomal,0.22378,cannabis
CaSa_OIIb.chrX.v1.g425070.t1,X-linked,HXR,0.22377,cannabis
CaSa_OIIb.chr1.v1.g089220.t1,Autosomal,Autosomal,0.2237,cannabis
CaSa_OIIb.chr7.v1.g293460.t1,Autosomal,Autosomal,0.2237,cannabis
CaSa_OIIb.chr3.v1.g151010.t1,Autosomal,Autosomal,0.22366,cannabis
CaSa_OIIb.chrX.v1.g436260.t1,X-linked,HXR,0.22365,cannabis
CaSa_OIIb.chr2.v1.g127420.t1,Autosomal,Autosomal,0.22364,cannabis
CaSa_OIIb.chr8.v1.g337470.t1,Autosomal,Autosomal,0.22362,cannabis
CaSa_OIIb.chrX.v1.g407420.t1,X-linked,PAR,0.2236,cannabis
CaSa_OIIb.chr8.v1.g351890.t1,Autosomal,Autosomal,0.22357,cannabis
CaSa_OIIb.chrX.v1.g431780.t1,X-linked,HXR,0.22355,cannabis
CaSa_OIIb.chr1.v1.g087430.t1,Autosomal,Autosomal,0.22354,cannabis
CaSa_OIIb.chrX.v1.g391420.t1,X-linked,PAR,0.22346,cannabis
CaSa_OIIb.chr5.v1.g254660.t1,Autosomal,Autosomal,0.22345,cannabis
